Date,AvgTemp
2/23/16,40
2/24/16,48
2/25/16,49
2/26/16,35
2/27/16,34
2/28/16,47
2/29/16,52
3/1/16,47
3/2/16,42
3/3/16,32
3/4/16,34
3/5/16,36
3/6/16,38
3/7/16,44
3/8/16,51
3/9/16,52
3/10/16,62
3/11/16,59
3/12/16,47
3/13/16,55
3/14/16,47
3/15/16,51
3/16/16,50
3/17/16,54
3/18/16,53
3/19/16,42
3/20/16,40
3/21/16,42
3/22/16,45
3/23/16,59
3/24/16,51
3/25/16,57
3/26/16,45
3/27/16,45
3/28/16,54
3/29/16,48
3/30/16,43
3/31/16,56
4/1/16,59
4/2/16,54
4/3/16,43
4/4/16,40
4/5/16,35
4/6/16,38
4/7/16,54
4/8/16,45
4/9/16,39
4/10/16,40
4/11/16,50
4/12/16,52
4/13/16,46
4/14/16,48
4/15/16,48
4/16/16,53
4/17/16,56
4/18/16,62
4/19/16,62
4/20/16,58
4/21/16,56
4/22/16,62
4/23/16,63
4/24/16,56
4/25/16,55
4/26/16,56
4/27/16,50
4/28/16,53
4/29/16,52
4/30/16,54
5/1/16,48
5/2/16,51
5/3/16,52
5/4/16,51
5/5/16,52
5/6/16,51
5/7/16,52
5/8/16,58
5/9/16,60
5/10/16,55
5/11/16,60
5/12/16,63
5/13/16,59
5/14/16,63
5/15/16,54
5/16/16,56
5/17/16,59
5/18/16,59
5/19/16,59
5/20/16,62
5/21/16,56
5/22/16,62
5/23/16,61
5/24/16,69
5/25/16,72
5/26/16,73
5/27/16,70
5/28/16,72
5/29/16,71
5/30/16,71
5/31/16,73
6/1/16,75
6/2/16,67
6/3/16,65
6/4/16,71
6/5/16,69
6/6/16,76
6/7/16,75
6/8/16,62
6/9/16,65
6/10/16,69
6/11/16,73
6/12/16,75
6/13/16,68
6/14/16,71
6/15/16,73
6/16/16,68
6/17/16,68
6/18/16,69
6/19/16,72
6/20/16,70
6/21/16,79
6/22/16,80
6/23/16,77
6/24/16,77
6/25/16,73
6/26/16,73
6/27/16,74
6/28/16,73
6/29/16,80
6/30/16,78
7/1/16,74
7/2/16,75
7/3/16,74
7/4/16,74
7/5/16,81
7/6/16,80
7/7/16,82
7/8/16,78
7/9/16,69
7/10/16,76
7/11/16,75
7/12/16,73
7/13/16,76
7/14/16,80
7/15/16,85
7/16/16,81
7/17/16,80
7/18/16,83
7/19/16,80
7/20/16,75
7/21/16,78
7/22/16,82
7/23/16,88
7/24/16,82
7/25/16,81
7/26/16,84
7/27/16,82
7/28/16,81
7/29/16,78
7/30/16,79
7/31/16,77
8/1/16,74
